
Trackpoint	58 58.211 5 49.094	03/08/2011 14:37:48 	0 m			35 m	0:00:03	42 kph	96° true
Trackpoint	58 58.210 5 49.118	03/08/2011 14:37:50 	0 m			23 m	0:00:02	41 kph	95° true
Trackpoint	58 58.209 5 49.152	03/08/2011 14:37:53 	0 m			33 m	0:00:03	40 kph	94° true
Trackpoint	58 58.208 5 49.188	03/08/2011 14:37:56 	0 m			34 m	0:00:03	41 kph	93° true
Trackpoint	58 58.207 5 49.212	03/08/2011 14:37:58 	0 m			23 m	0:00:02	41 kph	94° true
Trackpoint	58 58.206 5 49.236	03/08/2011 14:38:00 	0 m			23 m	0:00:02	41 kph	94° true
Trackpoint	58 58.205 5 49.260	03/08/2011 14:38:02 	0 m			23 m	0:00:02	42 kph	94° true
Trackpoint	58 58.204 5 49.284	03/08/2011 14:38:04 	0 m			24 m	0:00:02	42 kph	95° true
Trackpoint	58 58.202 5 49.322	03/08/2011 14:38:07 	0 m			36 m	0:00:03	44 kph	94° true
Trackpoint	58 58.201 5 49.360	03/08/2011 14:38:10 	0 m			36 m	0:00:03	43 kph	94° true
Trackpoint	58 58.200 5 49.397	03/08/2011 14:38:13 	0 m			36 m	0:00:03	43 kph	94° true
Trackpoint	58 58.198 5 49.434	03/08/2011 14:38:16 	0 m			35 m	0:00:03	42 kph	94° true
Trackpoint	58 58.197 5 49.458	03/08/2011 14:38:18 	0 m			23 m	0:00:02	42 kph	95° true
Trackpoint	58 58.196 5 49.482	03/08/2011 14:38:20 	0 m			23 m	0:00:02	42 kph	93° true
Trackpoint	58 58.195 5 49.519	03/08/2011 14:38:23 	0 m			35 m	0:00:03	42 kph	95° true
Trackpoint	58 58.194 5 49.554	03/08/2011 14:38:26 	0 m			34 m	0:00:03	41 kph	93° true
Trackpoint	58 58.193 5 49.589	03/08/2011 14:38:29 	0 m			34 m	0:00:03	41 kph	93° true
Trackpoint	58 58.192 5 49.613	03/08/2011 14:38:31 	0 m			23 m	0:00:02	41 kph	94° true
Trackpoint	58 58.191 5 49.650	03/08/2011 14:38:34 	0 m			35 m	0:00:03	42 kph	94° true
Trackpoint	58 58.190 5 49.674	03/08/2011 14:38:36 	0 m			23 m	0:00:02	42 kph	94° true
Trackpoint	58 58.189 5 49.710	03/08/2011 14:38:39 	0 m			35 m	0:00:03	42 kph	93° true
Trackpoint	58 58.188 5 49.735	03/08/2011 14:38:41 	0 m			24 m	0:00:02	42 kph	94° true
Trackpoint	58 58.186 5 49.772	03/08/2011 14:38:44 	0 m			35 m	0:00:03	42 kph	94° true
Trackpoint	58 58.185 5 49.808	03/08/2011 14:38:47 	0 m			35 m	0:00:03	42 kph	95° true
Trackpoint	58 58.183 5 49.833	03/08/2011 14:38:49 	0 m			24 m	0:00:02	43 kph	96° true
Trackpoint	58 58.182 5 49.858	03/08/2011 14:38:51 	0 m			24 m	0:00:02	43 kph	95° true
Trackpoint	58 58.181 5 49.884	03/08/2011 14:38:53 	0 m			24 m	0:00:02	44 kph	94° true
Trackpoint	58 58.180 5 49.922	03/08/2011 14:38:56 	0 m			36 m	0:00:03	44 kph	94° true
Trackpoint	58 58.179 5 49.959	03/08/2011 14:38:59 	0 m			36 m	0:00:03	43 kph	94° true
Trackpoint	58 58.177 5 49.997	03/08/2011 14:39:02 	0 m			37 m	0:00:03	44 kph	95° true
Trackpoint	58 58.176 5 50.023	03/08/2011 14:39:04 	0 m			25 m	0:00:02	45 kph	96° true
Trackpoint	58 58.175 5 50.049	03/08/2011 14:39:06 	0 m			25 m	0:00:02	44 kph	94° true
Trackpoint	58 58.174 5 50.074	03/08/2011 14:39:08 	0 m			24 m	0:00:02	43 kph	93° true
